Most important phishing n_grams
476. nt/c - freq: 56
477. u.co - freq: 56
478. file - freq: 56
479. om/l - freq: 55
480. //da - freq: 55
481. e-co - freq: 55
482. /inf - freq: 55
483. mer- - freq: 55
484. /ver - freq: 55
485. //ap - freq: 54
486. luti - freq: 54
487. utio - freq: 54
488. 1221 - freq: 54
489. 2213 - freq: 54
490. nder - freq: 54
491. nt/t - freq: 54
492. solu - freq: 54
493. d024 - freq: 53
494. heme - freq: 53
495. ht.a - freq: 53
496. mes/ - freq: 53
497. in/i - freq: 53
498. t.as - freq: 53
499. emes - freq: 53
500. 77c1 - freq: 53
501. v.1& - freq: 52
502. /css - freq: 52
503. t/th - freq: 52
504. netw - freq: 52
505. nts/ - freq: 52
506. fav. - freq: 52
507. av.1 - freq: 52
508. //.b - freq: 51
509. /.it - freq: 51
510. .itu - freq: 51
511. loud - freq: 51
512. s.ph - freq: 51
513. 1122 - freq: 51
514. dire - freq: 51
515. rect - freq: 51
516. irec - freq: 51
517. .125 - freq: 51
518. ntan - freq: 51
519. ande - freq: 51
520. 32d0 - freq: 51
521. 8112 - freq: 50
522. tand - freq: 50
523. ca/6 - freq: 50
524. n/in - freq: 50
525. &ema - freq: 50
526. s/de - freq: 50
527. 1126 - freq: 50
528. 2019 - freq: 50
529. 277c - freq: 50
530. webs - freq: 50
531. anta - freq: 50
532. obal - freq: 50
533. //in - freq: 49
534. //pa - freq: 49
535. 2d02 - freq: 49
536. 024f - freq: 49
537. 3a75 - freq: 49
538. 3b27 - freq: 49
539. cox. - freq: 49
540. e636 - freq: 49
541. /ado - freq: 49
542. 53a7 - freq: 49
543. ure/ - freq: 49
544. 1266 - freq: 49
545. /san - freq: 49
546. dobe - freq: 49
547. 4f53 - freq: 49
548. 6681 - freq: 49
549. 6811 - freq: 49
550. rive - freq: 49
551. t/in - freq: 49
552. adob - freq: 49
553. c112 - freq: 49
554. sant - freq: 49
555. 73b2 - freq: 49
556. sych - freq: 48
557. ox.f - freq: 48
558. ter/ - freq: 48
559. .es/ - freq: 48
560. .ful - freq: 48
561. cces - freq: 48
562. ycho - freq: 48
563. 02e6 - freq: 48
564. e365 - freq: 48
565. load - freq: 48
566. ull/ - freq: 48
567. a75b - freq: 48
568. /new - freq: 48
569. /off - freq: 48
570. 132d - freq: 48
571. f53a - freq: 48
572. x.fu - freq: 48
573. b277 - freq: 48
574. 6668 - freq: 48
575. rity - freq: 48
576. 2132 - freq: 48
577. 24f5 - freq: 48
578. 2666 - freq: 48
579. es/w - freq: 48
580. og/s - freq: 48
581. om/m - freq: 47
582. onal - freq: 47
583. king - freq: 47
584. glob - freq: 47
585. cent - freq: 47
586. 0702 - freq: 47
587. loca - freq: 47
588. loba - freq: 47
589. ice. - freq: 47
590. t/wp - freq: 47
591. 7469 - freq: 47
592. ocal - freq: 47
593. 6f73 - freq: 46
594. //pr - freq: 46
595. d=1& - freq: 46
596. =1&f - freq: 46
597. cho/ - freq: 46
598. 0776 - freq: 46
599. curi - freq: 46
600. 1477 - freq: 46
601. ://1 - freq: 46
602. /syc - freq: 46
603. g/sy - freq: 46
604. 702e - freq: 46
605. www. - freq: 46
606. //.m - freq: 45
607. /.pa - freq: 45
608. xxxx - freq: 45
609. 1707 - freq: 45
610. /upd - freq: 45
611. driv - freq: 45
612. 6170 - freq: 45
613. %20o - freq: 45
614. erro - freq: 45
615. 7070 - freq: 45
616. 1f14 - freq: 45
617. ou.c - freq: 44
618. .hac - freq: 44
619. chey - freq: 44
620. 91f1 - freq: 44
621. you. - freq: 44
622. hach - freq: 44
623. heyo - freq: 44
624. rade - freq: 44
625. g.co - freq: 44
626. 2686 - freq: 44
627. er/c - freq: 44
628. eyou - freq: 44
629. anki - freq: 44
630. ate. - freq: 44
631. atra - freq: 44
632. org. - freq: 43
633. .br/ - freq: 43
634. ce36 - freq: 43
635. 019/ - freq: 43
636. clou - freq: 43
637. cryp - freq: 43
638. ctio - freq: 43
639. a/in - freq: 43
640. urit - freq: 43
641. f147 - freq: 43
642. ice3 - freq: 43
643. rypt - freq: 43
644. l/lo - freq: 43
645. bal. - freq: 42
646. 477d - freq: 42
647. cach - freq: 42
648. cale - freq: 42
649. 7dbd - freq: 42
650. cons - freq: 42
651. _log - freq: 42
652. mana - freq: 42
653. /per - freq: 42
654. 636f - freq: 42
655. nage - freq: 42
656. ive/ - freq: 42
657. %20a - freq: 42
658. anag - freq: 42
659. scre - freq: 42
660. 77db - freq: 42
661. form - freq: 41
662. -log - freq: 41
663. ?ema - freq: 41
664. d.ht - freq: 41
665. m.ph - freq: 41
666. patr - freq: 41
667. lang - freq: 41
668. legi - freq: 41
669. cree - freq: 41
670. logo - freq: 41
671. a/lo - freq: 41
672. /cry - freq: 41
673. ding - freq: 41
674. /web - freq: 41
675. /www - freq: 41
676. ica. - freq: 41
677. il.t - freq: 41
678. rror - freq: 41
679. l.ti - freq: 41
680. //.t - freq: 40
681. om/z - freq: 40
682. d.co - freq: 40
683. m/ad - freq: 40
684. trag - freq: 40
685. .pat - freq: 40
686. r-ýd - freq: 40
687. .sht - freq: 40
688. e/in - freq: 40
689. co.u - freq: 40
690. 5.ht - freq: 40
691. /aut - freq: 40
692. dati - freq: 40
693. hp?e - freq: 40
694. s.00 - freq: 40
695. mati - freq: 40
696. ://j - freq: 40
697. o.uk - freq: 40
698. ragl - freq: 40
699. rver - freq: 40
700. aglo - freq: 40
701. ate/ - freq: 40
702. shtm - freq: 40
703. /%3f - freq: 40
704. m.br - freq: 39
705. gin= - freq: 39
706. truc - freq: 39
707. ypt/ - freq: 39
708. /cac - freq: 39
709. /sup - freq: 39
710. ents - freq: 39
711. ank- - freq: 39
712. 3746 - freq: 38
713. ogon - freq: 38
714. 6f6d - freq: 38
715. om/r - freq: 38
716. ýdpp - freq: 38
717. 2e63 - freq: 38
718. 86f7 - freq: 38
719. /?co - freq: 38
720. pp00 - freq: 38
721. 0303 - freq: 38
