dictionary size=  100
list element size=  100000 

Start value = V  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (15, 'V')
Q24         | (356754, 'R12'), (359434, 'U8'), (357631, 'E'), (372642, 'S19'), (379548, 'Y14'), (365325, 'S8'), (359005, 'Y22'), (385051, 'S4'), (400683, 'R0'), (390566, 'J10'), (385916, 'Y'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (363972, 'T22'), (416082, 'X11'), (391473, 'K23'), (410673, 'P5'), (426460, 'U14'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (373134, 'C21'), (405436, 'H')
R12         | (357631, 'E'), (359434, 'U8'), (359005, 'Y22'), (372642, 'S19'), (379548, 'Y14'), (365325, 'S8'), (363972, 'T22'), (385051, 'S4'), (400683, 'R0'), (390566, 'J10'), (385916, 'Y'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (391473, 'K23'), (410673, 'P5'), (426460, 'U14'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (405436, 'H'), (413146, 'L'), (440902, 'R')
E           | (359005, 'Y22'), (359434, 'U8'), (363972, 'T22'), (365918, 'I15'), (363619, 'Z9'), (365325, 'S8'), (373134, 'C21'), (368365, 'G12'), (366527, 'F8'), (390566, 'J10'), (379548, 'Y14'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (372642, 'S19'), (375234, 'H17'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (385916, 'Y'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (391473, 'K23'), (444545, 'H8'), (410673, 'P5'), (400683, 'R0'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2'), (417003, 'Y11'), (386926, 'L16')
Y22         | (359434, 'U8'), (363619, 'Z9'), (363972, 'T22'), (365918, 'I15'), (379548, 'Y14'), (365325, 'S8'), (373134, 'C21'), (368365, 'G12'), (366527, 'F8'), (390566, 'J10'), (385916, 'Y'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (372642, 'S19'), (375234, 'H17'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (391473, 'K23'), (444545, 'H8'), (410673, 'P5'), (400683, 'R0'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2'), (417003, 'Y11'), (420651, 'K')
U8          | (363619, 'Z9'), (365918, 'I15'), (363972, 'T22'), (366527, 'F8'), (379548, 'Y14'), (365325, 'S8'), (373134, 'C21'), (368365, 'G12'), (375234, 'H17'), (390566, 'J10'), (385916, 'Y'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (391473, 'K23'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2'), (417003, 'Y11')
Z9          | (363972, 'T22'), (365918, 'I15'), (365325, 'S8'), (366527, 'F8'), (367930, 'J'), (378116, 'I9'), (373134, 'C21'), (368365, 'G12'), (375234, 'H17'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (385916, 'Y'), (394929, 'Z7'), (417003, 'Y11'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (391473, 'K23'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2'), (386926, 'L16')
T22         | (365325, 'S8'), (365918, 'I15'), (373134, 'C21'), (366527, 'F8'), (367930, 'J'), (378116, 'I9'), (386926, 'L16'), (368365, 'G12'), (375234, 'H17'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (385916, 'Y'), (394929, 'Z7'), (417003, 'Y11'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (391473, 'K23'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2'), (441871, 'O')
S8          | (365918, 'I15'), (366527, 'F8'), (373134, 'C21'), (368365, 'G12'), (367930, 'J'), (378116, 'I9'), (386926, 'L16'), (372642, 'S19'), (375234, 'H17'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (391473, 'K23'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (385916, 'Y'), (394929, 'Z7'), (417003, 'Y11'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (441871, 'O'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15'), (452415, 'X2')
I15         | (366527, 'F8'), (367930, 'J'), (373134, 'C21'), (368365, 'G12'), (379548, 'Y14'), (378116, 'I9'), (386926, 'L16'), (372642, 'S19'), (375234, 'H17'), (390566, 'J10'), (385916, 'Y'), (384623, 'M23'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (385051, 'S4'), (391473, 'K23'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (452415, 'X2'), (394929, 'Z7'), (417003, 'Y11'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (441871, 'O'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21'), (396882, 'T15')
F8          | (367930, 'J'), (368365, 'G12'), (373134, 'C21'), (372642, 'S19'), (379548, 'Y14'), (378116, 'I9'), (386926, 'L16'), (385051, 'S4'), (375234, 'H17'), (390566, 'J10'), (385916, 'Y'), (384623, 'M23'), (401902, 'N19'), (388311, 'T0'), (405436, 'H'), (396882, 'T15'), (391473, 'K23'), (400683, 'R0'), (410703, 'L0'), (391007, 'G10'), (393073, 'R4'), (452415, 'X2'), (394929, 'Z7'), (417003, 'Y11'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (440902, 'R'), (413146, 'L'), (454047, 'E0'), (416082, 'X11'), (441871, 'O'), (444545, 'H8'), (410673, 'P5'), (420651, 'K'), (426460, 'U14'), (448993, 'L19'), (399496, 'N3'), (431053, 'P21')
