dictionary size=  1000000
list element size=  1000 

Start value = H  Goal value = M 

Expand Node | Fringe
--------------------
-           | (401223, 'H')
H13         | (488144, 'N0'), (534896, 'G21'), (491489, 'V14'), (611401, 'V4'), (546868, 'E7'), (567427, 'I21'), (528261, 'C'), (735513, 'O17'), (664951, 'Y24'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (738591, 'X7'), (777580, 'O21'), (780543, 'O23'), (901533, 'P7'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (868502, 'Q'), (866656, 'T20')
N0          | (491489, 'V14'), (534896, 'G21'), (528261, 'C'), (611401, 'V4'), (546868, 'E7'), (567427, 'I21'), (738591, 'X7'), (735513, 'O17'), (664951, 'Y24'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (777580, 'O21'), (780543, 'O23'), (901533, 'P7'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (868502, 'Q')
V14         | (528261, 'C'), (534896, 'G21'), (567427, 'I21'), (554126, 'G'), (546868, 'E7'), (697938, 'N10'), (738591, 'X7'), (611401, 'V4'), (664951, 'Y24'), (843998, 'T22'), (554142, 'G'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (735513, 'O17'), (780543, 'O23'), (901533, 'P7'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (777580, 'O21')
C           | (14021, 'G9'), (26993, 'J25'), (567427, 'I21'), (338174, 'L11'), (92286, 'O13'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (486897, 'E18'), (350051, 'L19'), (174571, 'W20'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (534896, 'G21'), (841727, 'N15'), (532669, 'N24'), (760793, 'V21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (874454, 'P5'), (554142, 'G'), (869632, 'Q'), (777580, 'O21'), (983833, 'X15')
G9          | (26993, 'J25'), (92286, 'O13'), (567427, 'I21'), (338174, 'L11'), (174571, 'W20'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (486897, 'E18'), (350051, 'L19'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (534896, 'G21'), (841727, 'N15'), (532669, 'N24'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (874454, 'P5'), (554142, 'G'), (869632, 'Q'), (983833, 'X15')
J25         | (92286, 'O13'), (174571, 'W20'), (567427, 'I21'), (338174, 'L11'), (350051, 'L19'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (486897, 'E18'), (532669, 'N24'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (534896, 'G21'), (841727, 'N15'), (554142, 'G'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (664951, 'Y24'), (963903, 'Q0'), (843998, 'T22'), (874454, 'P5'), (983833, 'X15'), (869632, 'Q')
O13         | (174571, 'W20'), (338174, 'L11'), (567427, 'I21'), (486897, 'E18'), (350051, 'L19'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (534896, 'G21'), (532669, 'N24'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (664951, 'Y24'), (841727, 'N15'), (554142, 'G'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (869632, 'Q'), (963903, 'Q0'), (843998, 'T22'), (874454, 'P5'), (983833, 'X15')
W20         | (338174, 'L11'), (350051, 'L19'), (567427, 'I21'), (486897, 'E18'), (532669, 'N24'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (534896, 'G21'), (554142, 'G'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (664951, 'Y24'), (841727, 'N15'), (874454, 'P5'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (869632, 'Q'), (963903, 'Q0'), (843998, 'T22'), (983833, 'X15')
L11         | (350051, 'L19'), (486897, 'E18'), (567427, 'I21'), (534896, 'G21'), (532669, 'N24'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (664951, 'Y24'), (554142, 'G'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (869632, 'Q'), (841727, 'N15'), (574192, 'A'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22'), (874454, 'P5')
L19         | (486897, 'E18'), (532669, 'N24'), (567427, 'I21'), (534896, 'G21'), (554142, 'G'), (697938, 'N10'), (738591, 'X7'), (546868, 'E7'), (664951, 'Y24'), (574192, 'A'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (554126, 'G'), (749192, 'I11'), (869632, 'Q'), (841727, 'N15'), (874454, 'P5'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (780543, 'O23'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (983833, 'X15'), (963903, 'Q0'), (843998, 'T22')
E18         | (532669, 'N24'), (534896, 'G21'), (567427, 'I21'), (546868, 'E7'), (554142, 'G'), (697938, 'N10'), (738591, 'X7'), (554126, 'G'), (664951, 'Y24'), (574192, 'A'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (611401, 'V4'), (780543, 'O23'), (749192, 'I11'), (869632, 'Q'), (841727, 'N15'), (874454, 'P5'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (735513, 'O17'), (926756, 'F8'), (843998, 'T22'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (983833, 'X15'), (963903, 'Q0')
N24         | (534896, 'G21'), (546868, 'E7'), (567427, 'I21'), (554126, 'G'), (554142, 'G'), (697938, 'N10'), (738591, 'X7'), (611401, 'V4'), (664951, 'Y24'), (574192, 'A'), (760793, 'V21'), (826883, 'I16'), (740469, 'K18'), (852824, 'K15'), (866656, 'T20'), (735513, 'O17'), (780543, 'O23'), (749192, 'I11'), (869632, 'Q'), (841727, 'N15'), (874454, 'P5'), (777580, 'O21'), (812755, 'X21'), (908234, 'W13'), (868502, 'Q'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (963903, 'Q0'), (926756, 'F8'), (843998, 'T22'), (901533, 'P7'), (825959, 'I16'), (994934, 'X6'), (983833, 'X15')
