dictionary size=  1000
list element size=  10000 

Start value = I  Goal value = W 

Expand Node | Fringe
--------------------
-           | (53, 'I')
N           | (26354, 'W19'), (27616, 'W14'), (26426, 'T'), (27893, 'P18'), (28077, 'Z16'), (27725, 'T17'), (29545, 'J'), (28270, 'X20'), (29373, 'O24'), (29334, 'O1'), (30445, 'P20'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (32721, 'X7'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (30338, 'S20'), (35669, 'T1'), (31523, 'V1'), (35226, 'Y9')
W19         | (26426, 'T'), (27616, 'W14'), (27725, 'T17'), (27893, 'P18'), (28077, 'Z16'), (29306, 'L'), (29545, 'J'), (28270, 'X20'), (29373, 'O24'), (29334, 'O1'), (30445, 'P20'), (29390, 'R7'), (31523, 'V1'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (32721, 'X7'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (30338, 'S20'), (35669, 'T1'), (35226, 'Y9')
T           | (27616, 'W14'), (27893, 'P18'), (27725, 'T17'), (28270, 'X20'), (28077, 'Z16'), (29306, 'L'), (29545, 'J'), (32721, 'X7'), (29373, 'O24'), (29334, 'O1'), (30445, 'P20'), (29390, 'R7'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (30338, 'S20'), (35669, 'T1'), (31523, 'V1'), (30969, 'Y6'), (32573, 'Y14')
W14         | (27725, 'T17'), (27893, 'P18'), (29306, 'L'), (28270, 'X20'), (28077, 'Z16'), (29390, 'R7'), (29545, 'J'), (32721, 'X7'), (29373, 'O24'), (29334, 'O1'), (30445, 'P20'), (30338, 'S20'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (32573, 'Y14'), (35669, 'T1'), (31523, 'V1'), (30969, 'Y6')
T17         | (27893, 'P18'), (28077, 'Z16'), (29306, 'L'), (28270, 'X20'), (29334, 'O1'), (29390, 'R7'), (29545, 'J'), (32721, 'X7'), (29373, 'O24'), (29754, 'G'), (30445, 'P20'), (30338, 'S20'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (30969, 'Y6'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (32573, 'Y14'), (35669, 'T1'), (31523, 'V1')
P18         | (28077, 'Z16'), (28270, 'X20'), (29306, 'L'), (29373, 'O24'), (29334, 'O1'), (29390, 'R7'), (29545, 'J'), (32721, 'X7'), (29423, 'A'), (29754, 'G'), (30445, 'P20'), (30338, 'S20'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (31523, 'V1'), (35020, 'R25'), (32569, 'U4'), (30969, 'Y6'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (32573, 'Y14'), (35669, 'T1')
Z16         | (28270, 'X20'), (29334, 'O1'), (29306, 'L'), (29373, 'O24'), (29754, 'G'), (29390, 'R7'), (29545, 'J'), (32721, 'X7'), (29423, 'A'), (30969, 'Y6'), (30445, 'P20'), (30338, 'S20'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (31523, 'V1'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (31306, 'P4'), (31844, 'R5'), (32573, 'Y14')
X20         | (29306, 'L'), (29334, 'O1'), (29390, 'R7'), (29373, 'O24'), (29754, 'G'), (30338, 'S20'), (29545, 'J'), (32721, 'X7'), (29423, 'A'), (30969, 'Y6'), (30445, 'P20'), (31844, 'R5'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (31523, 'V1'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (31306, 'P4'), (32573, 'Y14')
L           | (29334, 'O1'), (29373, 'O24'), (29390, 'R7'), (29423, 'A'), (29754, 'G'), (30338, 'S20'), (29545, 'J'), (32721, 'X7'), (31523, 'V1'), (30969, 'Y6'), (30445, 'P20'), (31844, 'R5'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (32573, 'Y14'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (31306, 'P4'), (33975, 'N7'), (34631, 'S5'), (39430, 'Z11'), (34879, 'Z22')
O1          | (29373, 'O24'), (29423, 'A'), (29390, 'R7'), (31523, 'V1'), (29754, 'G'), (30338, 'S20'), (29545, 'J'), (32721, 'X7'), (32573, 'Y14'), (30969, 'Y6'), (30445, 'P20'), (31844, 'R5'), (30963, 'T11'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (34879, 'Z22'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (31306, 'P4'), (33975, 'N7'), (34631, 'S5'), (39430, 'Z11')
O24         | (29390, 'R7'), (29423, 'A'), (29545, 'J'), (31523, 'V1'), (29754, 'G'), (30338, 'S20'), (29954, 'G'), (32721, 'X7'), (32573, 'Y14'), (30969, 'Y6'), (30445, 'P20'), (31844, 'R5'), (30963, 'T11'), (39430, 'Z11'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (34879, 'Z22'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (31306, 'P4'), (33975, 'N7'), (34631, 'S5')
R7          | (29423, 'A'), (29754, 'G'), (29545, 'J'), (31523, 'V1'), (30445, 'P20'), (30338, 'S20'), (29954, 'G'), (32721, 'X7'), (32573, 'Y14'), (30969, 'Y6'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (39430, 'Z11'), (34860, 'P19'), (33904, 'M5'), (35226, 'Y9'), (34879, 'Z22'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (34631, 'S5'), (33975, 'N7')
A           | (29545, 'J'), (29754, 'G'), (29954, 'G'), (30649, 'R4'), (30445, 'P20'), (30338, 'S20'), (30310, 'N0'), (31523, 'V1'), (32573, 'Y14'), (30969, 'Y6'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (30732, 'N11'), (32721, 'X7'), (34059, 'X24'), (34879, 'Z22'), (35020, 'R25'), (32569, 'U4'), (35669, 'T1'), (36483, 'O13'), (34631, 'S5'), (33787, 'A16'), (36845, 'B1'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (33778, 'O18'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (35226, 'Y9')
