dictionary size=  10
list element size=  1000 

Start value = V  Goal value = K 

Expand Node | Fringe
--------------------
-           | (4, 'V')
J14         | (4498, 'Y18'), (4549, 'P25'), (4600, 'Y14'), (4652, 'Y15'), (4738, 'X6'), (4837, 'X25'), (4731, 'M7'), (4842, 'Z18'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4868, 'V19'), (4861, 'N23')
Y18         | (4549, 'P25'), (4652, 'Y15'), (4600, 'Y14'), (4813, 'Z24'), (4738, 'X6'), (4837, 'X25'), (4731, 'M7'), (4842, 'Z18'), (4861, 'N23'), (4937, 'T2'), (4795, 'Y19'), (4868, 'V19'), (5017, 'A')
P25         | (4600, 'Y14'), (4652, 'Y15'), (4731, 'M7'), (4813, 'Z24'), (4738, 'X6'), (4837, 'X25'), (5017, 'A'), (4842, 'Z18'), (4861, 'N23'), (4937, 'T2'), (4795, 'Y19'), (4868, 'V19')
Y14         | (4652, 'Y15'), (4738, 'X6'), (4731, 'M7'), (4813, 'Z24'), (4795, 'Y19'), (4837, 'X25'), (5017, 'A'), (4842, 'Z18'), (4861, 'N23'), (4937, 'T2'), (4868, 'V19'), (5366, 'X')
Y15         | (4731, 'M7'), (4738, 'X6'), (4837, 'X25'), (4813, 'Z24'), (4795, 'Y19'), (5366, 'X'), (5017, 'A'), (4842, 'Z18'), (4861, 'N23'), (4937, 'T2'), (4868, 'V19')
M7          | (4738, 'X6'), (4795, 'Y19'), (4837, 'X25'), (4813, 'Z24'), (4868, 'V19'), (5366, 'X'), (5017, 'A'), (4842, 'Z18'), (4861, 'N23'), (4937, 'T2')
X6          | (4795, 'Y19'), (4813, 'Z24'), (4837, 'X25'), (4842, 'Z18'), (4868, 'V19'), (5366, 'X'), (5017, 'A'), (4937, 'T2'), (4861, 'N23')
Y19         | (4813, 'Z24'), (4842, 'Z18'), (4837, 'X25'), (4861, 'N23'), (4868, 'V19'), (5366, 'X'), (5017, 'A'), (4937, 'T2')
Z24         | (4837, 'X25'), (4842, 'Z18'), (4937, 'T2'), (4861, 'N23'), (4868, 'V19'), (5366, 'X'), (5017, 'A')
X25         | (4842, 'Z18'), (4861, 'N23'), (4937, 'T2'), (5017, 'A'), (4868, 'V19'), (5366, 'X')
Z18         | (4861, 'N23'), (4868, 'V19'), (4937, 'T2'), (5017, 'A'), (5366, 'X'), (4998, 'H')
N23         | (4868, 'V19'), (4998, 'H'), (4937, 'T2'), (5017, 'A'), (5366, 'X')
V19         | (4937, 'T2'), (4998, 'H'), (5366, 'X'), (5017, 'A')
T2          | (4998, 'H'), (5017, 'A'), (5366, 'X'), (5718, 'R')
H           | (5017, 'A'), (5070, 'X1'), (5259, 'S22'), (5604, 'T6'), (5946, 'L18'), (5609, 'P7'), (5366, 'X'), (5718, 'R'), (5641, 'H5')
