dictionary size=  100
list element size=  100 

Start value = L  Goal value = N 

Expand Node | Fringe
--------------------
-           | (62, 'L')
I17         | (207, 'F14'), (213, 'N2'), (207, 'O'), (216, 'E3'), (218, 'U'), (210, 'I'), (214, 'W21'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (222, 'K0'), (281, 'J'), (227, 'J5'), (232, 'Z15'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (305, 'F2'), (360, 'F15'), (320, 'H8'), (309, 'N'), (234, 'L7'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (233, 'P2')
F14         | (207, 'O'), (213, 'N2'), (210, 'I'), (216, 'E3'), (218, 'U'), (222, 'K0'), (214, 'W21'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (233, 'P2'), (281, 'J'), (227, 'J5'), (232, 'Z15'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (305, 'F2'), (360, 'F15'), (320, 'H8'), (309, 'N'), (234, 'L7'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9')
O           | (210, 'I'), (213, 'N2'), (214, 'W21'), (216, 'E3'), (218, 'U'), (222, 'K0'), (227, 'J5'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (233, 'P2'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (305, 'F2'), (360, 'F15'), (320, 'H8'), (309, 'N'), (234, 'L7'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (233, 'R19'), (246, 'U19'), (319, 'U20'), (365, 'Y6'), (298, 'Y22')
I           | (213, 'N2'), (216, 'E3'), (214, 'W21'), (220, 'W5'), (218, 'U'), (222, 'K0'), (227, 'J5'), (222, 'Y18'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (233, 'P2'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (223, 'K9'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (259, 'O8'), (264, 'P16'), (309, 'N'), (234, 'L7'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (233, 'R19'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (334, 'N16'), (320, 'H8'), (341, 'Q6'), (352, 'Q13'), (310, 'Z0')
N2          | (214, 'W21'), (216, 'E3'), (222, 'K0'), (220, 'W5'), (218, 'U'), (233, 'P2'), (227, 'J5'), (222, 'Y18'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (223, 'K9'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (259, 'O8'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (233, 'R19'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (334, 'N16'), (320, 'H8'), (341, 'Q6'), (352, 'Q13')
W21         | (216, 'E3'), (218, 'U'), (222, 'K0'), (220, 'W5'), (244, 'T19'), (233, 'P2'), (227, 'J5'), (222, 'Y18'), (229, 'M15'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (223, 'K9'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (233, 'R19'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (352, 'Q13'), (320, 'H8'), (341, 'Q6')
E3          | (218, 'U'), (220, 'W5'), (222, 'K0'), (222, 'Y18'), (244, 'T19'), (233, 'P2'), (227, 'J5'), (223, 'K9'), (229, 'M15'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (233, 'R19'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (352, 'Q13'), (320, 'H8')
U           | (162, 'U13'), (173, 'V7'), (222, 'K0'), (223, 'K9'), (220, 'W5'), (233, 'P2'), (227, 'J5'), (233, 'R19'), (229, 'M15'), (259, 'O8'), (222, 'Y18'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (244, 'T19'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (352, 'Q13'), (264, 'P16'), (256, 'J7')
U13         | (173, 'V7'), (220, 'W5'), (222, 'K0'), (223, 'K9'), (222, 'Y18'), (233, 'P2'), (227, 'J5'), (233, 'R19'), (229, 'M15'), (259, 'O8'), (244, 'T19'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (256, 'J7'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (352, 'Q13'), (264, 'P16')
V7          | (220, 'W5'), (222, 'Y18'), (222, 'K0'), (223, 'K9'), (244, 'T19'), (233, 'P2'), (227, 'J5'), (233, 'R19'), (229, 'M15'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (232, 'Z15'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (258, 'P24'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15'), (352, 'Q13')
W5          | (222, 'K0'), (222, 'Y18'), (227, 'J5'), (223, 'K9'), (244, 'T19'), (233, 'P2'), (232, 'Z15'), (233, 'R19'), (229, 'M15'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (258, 'P24'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (232, 'T1'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (352, 'Q13'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (245, 'J12'), (338, 'J17'), (325, 'K24'), (305, 'F2'), (360, 'F15')
K0          | (222, 'Y18'), (223, 'K9'), (227, 'J5'), (229, 'M15'), (244, 'T19'), (233, 'P2'), (232, 'Z15'), (233, 'R19'), (232, 'T1'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (258, 'P24'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (245, 'J12'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (352, 'Q13'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (360, 'F15'), (338, 'J17'), (325, 'K24'), (305, 'F2')
Y18         | (223, 'K9'), (229, 'M15'), (227, 'J5'), (232, 'T1'), (244, 'T19'), (233, 'P2'), (232, 'Z15'), (233, 'R19'), (245, 'J12'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (250, 'O13'), (258, 'P24'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (305, 'F2'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (352, 'Q13'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (360, 'F15'), (338, 'J17'), (325, 'K24')
K9          | (227, 'J5'), (229, 'M15'), (232, 'Z15'), (232, 'T1'), (244, 'T19'), (233, 'P2'), (250, 'O13'), (233, 'R19'), (245, 'J12'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (325, 'K24'), (258, 'P24'), (320, 'H8'), (246, 'U19'), (259, 'Q15'), (305, 'F2'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (352, 'Q13'), (361, 'R0'), (341, 'Q6'), (298, 'Y22'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (360, 'F15'), (338, 'J17')
J5          | (229, 'M15'), (232, 'T1'), (232, 'Z15'), (233, 'R19'), (244, 'T19'), (233, 'P2'), (250, 'O13'), (246, 'U19'), (245, 'J12'), (259, 'O8'), (256, 'J7'), (234, 'L7'), (281, 'J'), (325, 'K24'), (258, 'P24'), (320, 'H8'), (298, 'Y22'), (259, 'Q15'), (305, 'F2'), (264, 'M4'), (334, 'N16'), (264, 'P16'), (309, 'N'), (310, 'Z0'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (331, 'O16'), (362, 'P20'), (352, 'Q13'), (361, 'R0'), (341, 'Q6'), (338, 'J17'), (319, 'U20'), (365, 'Y6'), (313, 'I13'), (360, 'F15')
