dictionary size=  10
list element size=  10 

Start value = M  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (1, 'M')
Q23         | (28, 'W23'), (29, 'H'), (29, 'K3'), (29, 'N'), (30, 'E'), (30, 'X8'), (29, 'V19'), (30, 'V15'), (30, 'W9'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (31, 'Z19'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (43, 'G11'), (35, 'R2')
W23         | (29, 'H'), (29, 'N'), (29, 'K3'), (30, 'V15'), (30, 'E'), (30, 'X8'), (29, 'V19'), (33, 'R3'), (30, 'W9'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (31, 'Z19'), (35, 'U6'), (35, 'R2'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (43, 'G11')
H           | (27, 'S25'), (29, 'K3'), (29, 'V19'), (30, 'V15'), (29, 'N'), (30, 'X8'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (29, 'R21'), (35, 'Y13'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (30, 'Q10'), (30, 'E'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (35, 'W22'), (44, 'L15'), (34, 'T18'), (43, 'N9'), (38, 'Z7')
S25         | (29, 'K3'), (29, 'N'), (29, 'V19'), (30, 'V15'), (29, 'R21'), (30, 'X8'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (30, 'E'), (35, 'Y13'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (30, 'Q10'), (34, 'T18'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (35, 'W22'), (44, 'L15'), (38, 'Z7'), (43, 'N9')
K3          | (29, 'N'), (29, 'R21'), (29, 'V19'), (30, 'V15'), (30, 'E'), (30, 'X8'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (30, 'Q10'), (35, 'Y13'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (35, 'W22'), (34, 'T18'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (43, 'N9'), (44, 'L15'), (38, 'Z7')
N           | (29, 'P21'), (29, 'R21'), (29, 'V19'), (30, 'V15'), (30, 'E'), (30, 'X8'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (34, 'T18'), (30, 'Q10'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (35, 'W22'), (36, 'P1'), (35, 'Y13'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (43, 'N9'), (44, 'L15'), (38, 'Z7'), (35, 'Y24')
P21         | (29, 'R21'), (30, 'E'), (29, 'V19'), (30, 'V15'), (30, 'Q10'), (30, 'X8'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (34, 'T18'), (35, 'Y13'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (35, 'W22'), (36, 'P1'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (43, 'N9'), (44, 'L15'), (38, 'Z7')
R21         | (29, 'V19'), (30, 'E'), (30, 'X8'), (30, 'V15'), (30, 'Q10'), (31, 'H21'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (34, 'T18'), (35, 'Y13'), (31, 'Z23'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (35, 'W22'), (36, 'P1'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (38, 'Z7'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (37, 'L5'), (43, 'N9'), (44, 'L15')
V19         | (30, 'E'), (30, 'Q10'), (30, 'X8'), (30, 'V15'), (34, 'T18'), (31, 'H21'), (31, 'Z19'), (32, 'I8'), (30, 'W9'), (35, 'W22'), (35, 'Y13'), (31, 'Z23'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (36, 'P1'), (35, 'Y24'), (40, 'U6'), (39, 'W3'), (38, 'Z7'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (37, 'O6'), (38, 'O12'), (44, 'L15'), (43, 'N9')
E           | (30, 'I22'), (30, 'Q10'), (30, 'X8'), (30, 'W9'), (30, 'V15'), (31, 'H21'), (31, 'Z19'), (32, 'I8'), (31, 'G13'), (34, 'T18'), (33, 'I11'), (31, 'Z23'), (32, 'O1'), (32, 'Z9'), (33, 'N20'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (37, 'O6'), (37, 'L5'), (35, 'W22'), (35, 'Y13'), (37, 'N24'), (39, 'W3'), (38, 'Z7'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (43, 'G11'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (35, 'R2'), (34, 'L13'), (32, 'M16'), (41, 'N23'), (43, 'N9'), (38, 'O12'), (44, 'L15'), (43, 'G0'), (38, 'I7'), (36, 'P1'), (35, 'Y24'), (36, 'K15'), (40, 'U6'), (37, 'W21')
